57 20
0 1 2
0 10 15
0 11 15
0 14 17
0 15 12
0 19 7
1 0 2
1 2 5
1 3 19
1 4 12
1 7 16
2 1 5
2 3 7
2 7 21
2 15 15
2 17 17
3 1 19
3 2 7
3 4 10
4 1 12
4 3 10
4 5 6
4 7 13
4 11 16
4 15 21
4 16 19
5 4 6
5 6 4
5 7 16
5 10 20
5 11 19
5 13 13
5 14 13
6 5 4
6 7 10
6 8 15
6 15 20
6 16 19
7 1 16
7 2 21
7 4 13
7 5 16
7 6 10
7 8 1
7 12 21
7 13 15
8 6 15
8 7 1
8 9 5
8 10 21
8 11 16
8 18 13
9 8 5
9 10 1
9 12 13
10 0 15
10 5 20
10 8 21
10 9 1
10 11 1
10 15 14
10 16 16
11 0 15
11 4 16
11 5 19
11 8 16
11 10 1
11 12 9
12 7 21
12 9 13
12 11 9
12 13 9
12 15 16
12 17 13
12 19 17
13 5 13
13 7 15
13 12 9
13 14 5
13 17 13
14 0 17
14 5 13
14 13 5
14 15 10
14 19 13
15 0 12
15 2 15
15 4 21
15 6 20
15 10 14
15 12 16
15 14 10
15 16 6
15 18 13
16 4 19
16 6 19
16 10 16
16 15 6
16 17 2
16 19 16
17 2 17
17 12 13
17 13 13
17 16 2
17 18 4
18 8 13
18 15 13
18 17 4
18 19 1
19 0 7
19 12 17
19 14 13
19 16 16
19 18 1
