42 15
0 5 15
0 13 20
0 7 20
0 14 3
0 1 8
1 6 12
1 10 17
1 14 13
1 5 16
1 13 18
1 12 20
1 2 6
1 0 8
2 13 12
2 4 16
2 7 18
2 3 1
2 1 6
3 13 17
3 8 16
3 6 12
3 4 6
3 2 1
4 10 13
4 2 16
4 11 19
4 12 15
4 5 1
4 3 6
5 0 15
5 12 14
5 1 16
5 8 20
5 6 9
5 4 1
6 1 12
6 8 19
6 3 12
6 10 17
6 14 20
6 7 3
6 5 9
7 0 20
7 12 21
7 2 18
7 8 3
7 6 3
8 3 16
8 11 21
8 6 19
8 14 15
8 5 20
8 9 9
8 7 3
9 10 8
9 8 9
10 1 17
10 12 14
10 4 13
10 6 17
10 11 8
10 9 8
11 8 21
11 4 19
11 12 4
11 10 8
12 10 14
12 5 14
12 4 15
12 7 21
12 1 20
12 13 9
12 11 4
13 3 17
13 0 20
13 2 12
13 1 18
13 14 3
13 12 9
14 1 13
14 8 15
14 6 20
14 0 3
14 13 3
